"N_Policy","Company","Category","Char","Started","Expired","TK","City","District","Mark","Use","Gender","Gross","Net","Commissions","id"
"419080603","UNIQUE","ΑΥΤΟΚΙΝΗΤΟ","ΖΖΝ0997","14/03/2020","14/09/2020","15772","ΖΩΓΡΑΦΟΣ","ΑΤΤΙΚΗΣ","YAMAHA","ΜΟΤΟ","1",58.45,43.41,9.12,332
"631030","MAPFRE ASISTENCIA","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΖΖΝ0997","14/03/2020","14/09/2020","15772","ΖΩΓΡΑΦΟΣ","ΑΤΤΙΚΗΣ","YAMAHA","ΜΟΤΟ","1",11,7.36,0.29,332
"419080603","UNIQUE","ΑΥΤΟΚΙΝΗΤΟ","ΖΖΝ0997","14/09/2020","14/03/2021","15772","ΖΩΓΡΑΦΟΣ","ΑΤΤΙΚΗΣ","YAMAHA","ΜΟΤΟ","1",58.45,43.41,9.12,332
"253946","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΖΖΝ0997","14/09/2020","14/03/2021","15772","ΖΩΓΡΑΦΟΣ","ΑΤΤΙΚΗΣ","YAMAHA","ΜΟΤΟ","1",11,7.66,0.23,332
"31670232","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΖΧΖ9263","13/11/2020","13/11/2021","14569","ΑΝΟΙΞΗ","ΑΤΤΙΚΗΣ","MITSUBISHI","ΕΙΧ","2",260.8,179.05,17.91,154
"117159","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΖΧΖ9263","13/11/2020","13/11/2021","14569","ΑΝΟΙΞΗ","ΑΤΤΙΚΗΣ","MITSUBISHI","ΕΙΧ","2",5,3.62,0.8,154
"32228882","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΒΧ4395","01/05/2020","01/05/2021","40300","ΦΑΡΣΑΛΑ","ΛΑΡΙΣΑΣ","SAAB","ΕΙΧ","2",153.49,105.37,10.54,505
"84636","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΒΧ4395","01/05/2020","01/05/2021","40300","ΦΑΡΣΑΛΑ","ΛΑΡΙΣΑΣ","SAAB","ΕΙΧ","2",5,3.62,0.8,505
"96455","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΒΟΚ5280","30/06/2020","30/06/2021","14233","ΝΕΑ ΙΩΝΙΑ","ΑΤΤΙΚΗΣ","FIAT","ΕΙΧ","1",5,3.62,0.8,549
"32325677","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΒΟΚ5280","30/06/2020","30/06/2021","14233","ΝΕΑ ΙΩΝΙΑ","ΑΤΤΙΚΗΣ","FIAT","ΕΙΧ","1",207.52,142.44,14.24,549
