"N_Policy","Company","Category","Type_policy","Char","Started","Expired","City","District","Gross","Net","Commissions","id"
"9797281","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","фгт541","11/04/2017","11/04/2018","пеяистеяи","аттийг",69.36,47.72,9.54,1160
"5200272437","EUROP  ASSISTANCE","одийгс богхеиас","мщО сУЛБЭКАИО","ума5231","07/11/2017","07/05/2018",NA,NA,14.5,12.61,3.15,1837
"31325632","имтеяалеяийам","аутойимгтым","мщО сУЛБЭКАИО","ума5231","07/11/2017","07/05/2018",NA,NA,98.29,67.18,13.44,1837
"7190075297","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","угу6830","11/10/2017","11/10/2018","ацяимио","аитыкойаямамиа",173.5,118.15,23.63,101
"02042431532","ERGO A.A.E.Z","аутойимгтым","мщО сУЛБЭКАИО","уов7850","06/10/2017","06/04/2018","аццекойаст","аитыкойаямамиа",99,69.5,15.15,415
"7190044828","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","уов7850","06/04/2017","06/10/2017","аццекойаст","аитыкойаямамиа",86.21,58.55,11.5,415
"11097487","думалис","аутойимгтым","мщО сУЛБЭКАИО","аим1704","17/03/2017","17/09/2017","ацяимиоу","аитыкойаямамиа",86.65,56.88,11.38,1770
"11097487","думалис","аутойимгтым","аМАМщЫСГ","аим1704","18/09/2017","18/03/2018","ацяимиоу","аитыкойаямамиа",86.65,56.88,11.38,1770
"59879908","ехмийг аСЖАКИСТИЙч","одийгс богхеиас","п пЯэНГ лЕТАТЯОПчР","дой6978","06/10/2017","31/12/2017","ахгма","аттийг",0.86,0.75,0.05,1852
"59879908","ехмийг аСЖАКИСТИЙч","аутойимгтым","мщО сУЛБЭКАИО","дой6978","06/10/2017","31/12/2017","ахгма","аттийг",110.66,78.62,18.08,1852
"1317322","аткамтийг емысг","аутойимгтым","мщО сУЛБЭКАИО","фйг4089","12/03/2017","12/03/2018",NA,NA,147.5,99.13,19.83,1054
"ян4661","суметаияистийг","аутойимгтым","аМАМщЫСГ","ияб4034","08/02/2017","08/05/2017","йояыпи","аттийг",68,45.89,9.18,1765
"7190048829","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","яом4633","30/05/2017","30/08/2017","вамиа","вамиым",39.62,26.91,5.38,1866
"19.21179347","INTERLIFE асжакистийг","аутойимгтым","мщО сУЛБЭКАИО","бйг105","20/10/2017","20/01/2018","ахгма","аттийг",52.46,36.06,7.57,1800
"19.211760219999999","INTERLIFE асжакистийг","аутойимгтым","мщО сУЛБЭКАИО","ффа586","17/10/2017","17/01/2018","ахгма","аттийг",23.87,16.42,3.45,1798
"7190047592","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","бий9629","20/05/2017","20/05/2018",NA,NA,150.97,103.2,20.64,92
"19.210418870000002","INTERLIFE асжакистийг","аутойимгтым","мщО сУЛБЭКАИО","илй602","23/06/2017","23/12/2017",NA,NA,54.25,37.31,7.84,1790
"213471824","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","иеб3886","30/05/2017","30/08/2017",NA,NA,60,40.17,8.03,1714
"1992034","Eurolife FFH","аутойимгтым","аМАМщЫСГ","иеб3886","30/01/2017","30/04/2017",NA,NA,69.03,47.4,9.48,1714
"19013540783","имтеясакомийа","аутойимгтым","аМАМщЫСГ","иеб3886","30/08/2017","30/11/2017",NA,NA,60,40.17,8.03,1714
"294819","DAS","молийгс пяостасиас","мщО сУЛБЭКАИО","иби 9540","21/09/2017","21/09/2018","цеяайас","аттийг",23,17.78,5.33,656
"213353329","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","иби9540","21/03/2017","21/09/2017","цеяайас","аттийг",137,92.92,18.58,656
"7199800853","INTERASCO","аутойимгтым","мщО сУЛБЭКАИО","иля3161","09/01/2017","09/01/2018","вокаяцоу","аттийг",259.94,171.2,34.24,378
