N_Policy,Company,Category,Char,Started,Expired,District,Gross,Net,Commissions,id
19.22281984,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΤΗ945,22/01/2022,22/02/2022,ΑΤΤΙΚΗ,24.22,16.67,3.44,2462
19.223262600000002,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΟΗΜ0991,23/03/2022,23/04/2022,ΑΤΤΙΚΗ,32.77,22.55,4.7,2462
19.22405998,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΟΗΜ0991,23/06/2022,23/07/2022,ΑΤΤΙΚΗ,32.77,22.55,4.7,2462
19.22224752,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΖΡ6316,22/04/2022,22/07/2022,ΑΤΤΙΚΗ,103.21,71.16,14.9,2462
19.224599860000001,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΟΗΜ0991,23/08/2022,23/09/2022,ΑΤΤΙΚΗ,32.77,22.55,4.7,2462
19.223740750000001,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΤΗ945,22/05/2022,22/06/2022,ΑΤΤΙΚΗ,24.22,16.67,3.46,2462
19.224060000000001,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΤΗ945,22/06/2022,22/07/2022,ΑΤΤΙΚΗ,24.22,16.67,3.46,2462
19.22374233,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΗΒΗ938,23/05/2022,23/06/2022,ΑΤΤΙΚΗ,20.15,13.84,2.87,2462
19.22224752,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΖΡ6316,22/10/2022,22/01/2023,ΑΤΤΙΚΗ,105.27,72.53,15.15,2462
19.2254687,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΗΒΗ938,23/12/2022,23/01/2023,ΑΤΤΙΚΗ,20.17,13.88,2.88,2462
19.225265919999998,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΖΡ5200,24/11/2022,24/11/2023,ΑΤΤΙΚΗ,407.53,280.11,57.74,2462
19.224329050000001,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΟΗΜ0991,23/07/2022,23/08/2022,ΑΤΤΙΚΗ,32.77,22.55,4.7,2462
19.223025920000001,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΟΗΜ0991,23/02/2022,23/03/2022,ΑΤΤΙΚΗ,32.77,22.55,4.7,2462
19.22481865,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΟΗΜ0991,23/09/2022,23/10/2022,ΑΤΤΙΚΗ,32.39,22.29,4.64,2462
19.225026889999999,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΗΒΗ938,23/10/2022,23/11/2022,ΑΤΤΙΚΗ,20.17,13.88,2.88,2462
19.224599950000002,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΤΗ945,22/08/2022,22/09/2022,ΑΤΤΙΚΗ,24.22,16.67,3.46,2462
19.22526293,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΤΗ945,22/11/2022,22/12/2022,ΑΤΤΙΚΗ,23.84,16.41,3.4,2462
19.225026960000001,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΟΗΜ0991,23/10/2022,23/11/2022,ΑΤΤΙΚΗ,32.39,22.29,4.64,2462
19.223740679999999,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΟΗΜ0991,23/05/2022,23/06/2022,ΑΤΤΙΚΗ,32.77,22.55,4.7,2462
19.22197538,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΟΗΡ300,13/03/2022,13/09/2022,ΑΤΤΙΚΗ,66.59,45.9,9.56,2462
