"N_Policy","Company","Category","Type_policy","Char","Started","Expired","City","Gross","Net","Commissions","id"
"21514410","ALLIANZ","аутойимгтым","аМАМщЫСГ","аил2858","01/06/2018","01/12/2018","ахгма",175.93,123.86,23.53,215
"11334282","GENERALI","фыгс","аМАМщЫСГ",NA,"22/08/2018","22/09/2018","йаисаяиамг",17.18,13.58,1.9,148
"11334282","GENERALI","фыгс","аМАМщЫСГ",NA,"22/09/2018","22/10/2018","йаисаяиамг",17.18,13.58,1.9,148
"11334282","GENERALI","фыгс","аМАМщЫСГ",NA,"22/06/2018","22/07/2018","йаисаяиамг",17.18,13.58,1.9,148
"11380184","GENERALI","фыгс","аМАМщЫСГ",NA,"25/02/2018","25/03/2018","йаисаяиамг",46.35,37.14,7.45,148
"11380184","GENERALI","фыгс","аМАМщЫСГ",NA,"25/01/2018","25/02/2018","йаисаяиамг",46.35,37.14,7.45,148
"11334282","GENERALI","фыгс","аМАМщЫСГ",NA,"22/04/2018","22/05/2018","йаисаяиамг",17.18,13.58,1.9,148
"11380184","GENERALI","фыгс","аМАМщЫСГ",NA,"25/03/2018","25/04/2018","йаисаяиамг",46.35,37.14,7.45,148
"11334282","GENERALI","фыгс","аМАМщЫСГ",NA,"22/07/2018","22/08/2018","йаисаяиамг",17.41,13.58,1.9,148
"11334282","GENERALI","фыгс","аМАМщЫСГ",NA,"22/05/2018","22/06/2018","йаисаяиамг",17.18,13.58,1.9,148
"11728128","GENERALI","фыгс","аМАМщЫСГ",NA,"16/12/2018","16/01/2019","йаисаяиамг",16.27,12.88,2.18,148
"11380184","GENERALI","фыгс","аМАМщЫСГ",NA,"25/11/2018","25/12/2018","йаисаяиамг",47.43,38,7.63,148
"11334282","GENERALI","фыгс","аМАМщЫСГ",NA,"22/03/2018","22/04/2018","йаисаяиамг",17.18,13.58,1.9,148
"11380184","GENERALI","фыгс","аМАМщЫСГ",NA,"25/10/2018","25/11/2018","йаисаяиамг",47.43,38,7.63,148
