N_Policy,Company,Category,Char,Started,Expired,District,Gender,Gross,Net,Commissions,id
33343743,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΥΕΡ5333,06/12/2023,06/12/2024,ΑΤΤΙΚΗΣ,1,161,110.08,12.11,1256
657054,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΥΕΡ5333,06/12/2023,06/12/2024,ΑΤΤΙΚΗΣ,1,5,3.62,0.87,1256
502883,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΧΧΗ952,09/04/2023,09/07/2023,ΑΤΤΙΚΗΣ,1,1,0.72,0.09,992
818529283,ΕΛΠΑ ΑΣΦΑΛΕΙΕΣ COVERHOLDER OF GMI,ΑΥΤΟΚΙΝΗΤΟ,ΧΧΗ952,09/04/2023,09/10/2023,ΑΤΤΙΚΗΣ,1,50.61,33.92,8.14,992
33529718,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΧΧΗ952,09/04/2023,09/07/2023,ΑΤΤΙΚΗΣ,1,31.59,21.59,2.37,992
19.22499328,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΟ,ΖΟΗ408,13/10/2023,13/10/2024,ΑΤΤΙΚΗΣ,1,94.82,65.1,15.62,1099
951130,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΖΟΗ408,13/10/2023,13/10/2024,ΑΤΤΙΚΗΣ,1,24,16.7,4.34,1099
33244635,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΙΤΤ5722,27/08/2023,27/08/2024,ΑΤΤΙΚΗΣ,2,138.68,95,10.45,13
562345,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΙΤΤ5722,27/08/2023,27/08/2024,ΑΤΤΙΚΗΣ,2,5,3.62,0.87,13
939593,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΙΤΤ5722,27/08/2023,27/08/2024,ΑΤΤΙΚΗΣ,2,24,16.7,4.34,13
435842,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΖΕΖ35,09/01/2023,09/07/2023,ΑΤΤΙΚΗΣ,0,2,1.45,0.19,1358
11403814,ΔΥΝΑΜΙΣ,ΑΥΤΟΚΙΝΗΤΟ,ΖΕΖ35,09/07/2023,09/01/2024,ΑΤΤΙΚΗΣ,1,45.92,30.17,6.64,1358
11403814,ΔΥΝΑΜΙΣ,ΑΥΤΟΚΙΝΗΤΟ,ΖΕΖ35,09/01/2023,09/07/2023,ΑΤΤΙΚΗΣ,0,45.92,30.17,6.64,1358
549301,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΖΕΖ35,09/07/2023,09/01/2024,ΑΤΤΙΚΗΣ,1,2.5,1.81,0.43,1358
32526405,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΖΝΒ1180,12/12/2023,12/12/2024,ΑΤΤΙΚΗΣ,1,236.56,162.51,17.88,273
655365,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΖΝΒ1180,12/12/2023,12/12/2024,ΑΤΤΙΚΗΣ,1,5,3.62,0.87,273
61363846,GROUPAMA,ΑΥΤΟΚΙΝΗΤΟ,ΒΚΙ9943,19/07/2023,19/10/2023,ΑΤΤΙΚΗΣ,2,74.86,53.4,12.61,206
920999,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΒΚΙ9943,19/04/2023,19/07/2023,ΑΤΤΙΚΗΣ,2,5.5,3.82,0.15,206
323463,ETU Forsikring A/S,ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ,ΒΚΙ9943,19/04/2023,19/07/2023,ΑΤΤΙΚΗΣ,2,4.5,3.05,0.46,206
934499,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΟΥΝ546,06/06/2023,06/12/2023,ΑΤΤΙΚΗΣ,0,11,7.66,0.31,206
893629,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΒΚΙ9943,19/01/2023,19/04/2023,ΑΤΤΙΚΗΣ,2,5,3.48,0.16,206
206968,INTERASCO,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ),ΒΚΙ9943,19/04/2023,19/07/2023,ΑΤΤΙΚΗΣ,2,0.75,0.5,0.12,206
33596327,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΟΥΝ546,06/06/2023,06/12/2023,ΑΤΤΙΚΗΣ,0,58.68,40.08,4.41,206
61363846,GROUPAMA,ΑΥΤΟΚΙΝΗΤΟ,ΒΚΙ9943,19/04/2023,19/07/2023,ΑΤΤΙΚΗΣ,2,74.04,52.82,12.47,206
558618,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΒΚΙ9943,19/07/2023,19/10/2023,ΑΤΤΙΚΗΣ,2,1.25,0.91,0.22,206
428466,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΒΚΙ9943,19/01/2023,19/04/2023,ΑΤΤΙΚΗΣ,2,1.25,0.91,0.22,206
372780,ETU Forsikring A/S,ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ,ΒΚΙ9943,19/07/2023,19/10/2023,ΑΤΤΙΚΗΣ,2,4.5,3.05,0.46,206
488177,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΒΚΙ9943,19/04/2023,19/07/2023,ΑΤΤΙΚΗΣ,2,1.25,0.91,0.22,206
189826,INTERASCO,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ),ΒΚΙ9943,19/01/2023,19/04/2023,ΑΤΤΙΚΗΣ,2,0.75,0.5,0.12,206
225920,INTERASCO,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ),ΒΚΙ9943,19/07/2023,19/10/2023,ΑΤΤΙΚΗΣ,2,0.75,0.5,0.12,206
276109,ETU Forsikring A/S,ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ,ΒΚΙ9943,19/01/2023,19/04/2023,ΑΤΤΙΚΗΣ,2,4.5,3.05,0.46,206
546400,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΟΥΝ546,06/06/2023,06/12/2023,ΑΤΤΙΚΗΣ,0,2,1.45,0.19,206
938958,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΒΚΙ9943,19/07/2023,19/10/2023,ΑΤΤΙΚΗΣ,2,6,4.18,0.15,206
61363846,GROUPAMA,ΑΥΤΟΚΙΝΗΤΟ,ΒΚΙ9943,19/01/2023,19/04/2023,ΑΤΤΙΚΗΣ,2,68.66,48.96,11.51,206
19.228570850000001,INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΟ,ΟΟΝ560,18/12/2023,18/06/2024,ΑΤΤΙΚΗΣ,0,51.82,35.6,8.54,1416
968729,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΟΟΝ560,18/12/2023,18/06/2024,ΑΤΤΙΚΗΣ,0,12,8.34,2.17,1416
624670,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΙΥΒ6999,22/09/2023,22/09/2024,ΑΤΤΙΚΗΣ,0,4,2.9,0.38,161
954168,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΙΥΒ6999,22/09/2023,22/09/2024,ΑΤΤΙΚΗΣ,0,24,16.7,4.34,161
33710881,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΙΥΒ6999,22/09/2023,22/09/2024,ΑΤΤΙΚΗΣ,0,284.82,195.4,21.49,161
595787,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΚΥΚ2740,11/08/2023,11/11/2023,ΑΤΤΙΚΗΣ,0,1,0.72,0.09,1533
946576,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΚΥΚ2740,11/08/2023,11/11/2023,ΑΤΤΙΚΗΣ,0,6,4.18,1.09,1533
33671491,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΚΥΚ2740,11/08/2023,11/11/2023,ΑΤΤΙΚΗΣ,0,66.74,45.7,5.03,1533
916154,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΙΖΥ154,16/04/2023,16/10/2023,ΑΤΤΙΚΗΣ,1,11,7.66,0.31,86
474164,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΙΖΥ154,16/04/2023,16/10/2023,ΑΤΤΙΚΗΣ,1,2.5,1.81,0.43,86
33093281,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΙΖΥ154,16/04/2023,16/10/2023,ΑΤΤΙΚΗΣ,1,81.96,55.95,6.15,86
495394,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΟΚΥ65,25/05/2023,25/08/2023,ΚΑΡΔΙΤΣΑΣ,1,1.25,0.91,0.22,971
922230,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΟΚΥ65,25/05/2023,25/08/2023,ΚΑΡΔΙΤΣΑΣ,1,5.5,3.82,0.15,971
441999,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΟΚΥ65,25/02/2023,25/05/2023,ΚΑΡΔΙΤΣΑΣ,1,1.25,0.91,0.22,971
32930711,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΟΚΥ65,25/05/2023,25/08/2023,ΚΑΡΔΙΤΣΑΣ,1,22.82,15.6,1.72,971
